Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Security Showdown: The Overconfident Operator Vs the Nefarious Ne’er-Do-Well | CCOSS + KCD GDL,Presentation,KCD Guadalajara,4/24/2024,,Keynote,https://www.youtube.com/watch?v=I5l87LgYz9M,
How to Platform Engineering “Well” for Target “Communities” | Ep 108,Guest,Cloud Native Podcast,5/30/2024,,,https://www.youtube.com/watch?v=3gv8eKeOIlI,
Victor Farcic & Whitney Lee - Choose Your Own Adventure: The Struggle for Security,Presentation,KCD Zurich,6/24/2024,,,https://www.youtube.com/watch?v=sXbH-CPL4f0,
"2024 Day 1 Keynote - Whitney Lee - Transformative Journeys, for Apps and for Humans!",Presentation,DevOps Days Austin,5/5/2024,,Keynote,https://www.youtube.com/watch?v=qYAofVa3W1E,
Choose Your Own Adventure: The Struggle for Security,Presentation,KCD Munich,8/28/2024,,Keynote,https://www.youtube.com/watch?v=3lIUPHQ33GM,
Choose Your Own Adventure: The Struggle for Security | 选择你的冒险：安全之战 - Whitney Lee & Viktor Farcic,Presentation,KubeCon China Hong Kong,9/4/2024,,,https://www.youtube.com/watch?v=omskaA5i9ig,
"CNCF Ambassador Series 01 | DevOps Toolkit ""You Choose"" Observability with Whitney and Viktor",Guest,Cloud Native Podcast,9/4/2024,,,https://www.youtube.com/watch?v=7FsGO0bEXWc,
Choose Your Own Adventure: The Struggle for Security - Whitney Lee & Viktor Farcic,Presentation,KubeDay Japan,9/12/2024,,,https://www.youtube.com/watch?v=SdaHy60OcWs,
Software Defined Interviews Episode 83: Whitney Lee,Podcast,Software Defined Interviews,10/2/2024,,,https://www.youtube.com/watch?v=Ks_bK94A5uA,
My Journey: Whitney Lee,Guest,The Cloud-Native Club,10/15/2024,,,https://www.youtube.com/watch?v=KETDIAYGC14,
A Lightboard Talk About Platform Engineering,Presentation,KubeCrash,10/16/2024,,Keynote,https://www.youtube.com/watch?v=zFMgHcRKo_s,
Road to KubeCon NA 2024: Whitney Lee,Presentation,The Landscape,10/17/2024,,,https://www.youtube.com/watch?v=ZjU0VMRs7IQ,
"Software Defined Interviews Episode 84: Tech recruiting from both sides of the table, with Sidney Miller",Podcast,Software Defined Interviews,10/19/2024,,,,
"Software Defined Interviews Episode 85: Kubernetes Cost Controls and Washing Horse Blankets, with Phil Andrews",Podcast,Software Defined Interviews,10/31/2024,,,,
"Software Defined Interviews Episode 86: Open Source Money Ethics, How Analysts use AI, What Even is an Industry Analyst, and Advanced Chicken Nugget Diplomacy, with Rachel Stephens",Podcast,Software Defined Interviews,11/13/2024,,,,
Choose Your Own Adventure: The Observability Odyssey - Whitney Lee & Viktor Farcic,Presentation,KubeCon NA Salt Lake City,11/14/2024,,,https://www.youtube.com/watch?v=R3CFETvCBFU,
Panel: Exploring eBPF Use Cases in Cloud-Native Security,Presentation,KubeCon - Cilium & eBPF Day,11/22/2024,,,https://www.youtube.com/watch?v=towNkbPMDjE,
"Software Defined Interviews Episode 87: Platform Engineering, AI, and Community - Whitney&#39;s KubeCon NA 2024 Adventures",Podcast,Software Defined Interviews,11/25/2024,,,https://www.youtube.com/watch?v=R3CFETvCBFU,
"Software Defined Interviews Episode 88: Platform Engineering and UK Digital People, with Abby Bangser",Podcast,Software Defined Interviews,11/28/2024,,,,
"Software Defined Interviews Episode 89: How platform engineering is different than DevOps, plus, narwhal teeth and spider digestion, with Viktor Farcic",Podcast,Software Defined Interviews,12/11/2024,,,,
"Software Defined Interviews Episode 90: Community management, event nightmares, and domestic Tupperware diplomacy, with Katie Greenley",Podcast,Software Defined Interviews,12/26/2024,,,,
"Software Defined Interviews Episode 91: Learning to learn, with Sasha Czarkowski",Podcast,Software Defined Interviews,1/9/2025,,,https://www.youtube.com/watch?v=Ll8TfchOGCs,
"Software Defined Interviews Episode 92: What went wrong with PaaS, and many other topics with Brian Gracely",Podcast,Software Defined Interviews,1/23/2025,,,https://www.youtube.com/watch?v=3zXWixikdDU,
"Software Defined Interviews Episode 93: 10x People, AI Trends, and Career Management, with Richard Seroter",Podcast,Software Defined Interviews,2/6/2025,,,,
"Software Defined Interviews Episode 94: Adding more condiments to the 7 layer networking burrito, with Marino Wijay",Podcast,Software Defined Interviews,2/20/2025,,,,
"Software Defined Interviews Episode 95: Success in Tech, Content Creation, &amp; Corporate Influence, with Hazel Weakly",Podcast,Software Defined Interviews,3/6/2025,,,,
"Software Defined Interviews Episode 96: Learning, teaching, tech certifications, and napkin culture in Singapore, with Mumshad Mannambeth",Podcast,Software Defined Interviews,3/22/2025,,,https://www.youtube.com/watch?v=coUgwtFgJRA,
