Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"The Spiders Agree: Knative Makes It Way Easier to Deploy Your App to Kubernetes",Presentations,CodeMash,1/13/2023,,,,
Whitney Lee,Guest,Kube Cuddle,10/16/2023,,,https://share.transistor.fm/s/f7af1085,
KubeCon EU 2023,Guest,Kubernetes Podcast,6/6/2023,,,https://kubernetespodcast.com/episode/202-kubecon-eu-2023/,
"'Choose Your Own Adventure' with VMware & Upbound at KubeCon + CloudNativeCon 2023",Blog,Upbound Blog,3/26/2023,,,https://blog.upbound.io/choose-adventure-vmware-upbound-kubecon-2023,
The Treacherous Trek to Development in 4 Minutes,Video,GOTO,11/8/2023,,,https://youtu.be/Lts7_V4Sr3k,
"Amusement Parks and Shipping Ports: CNCF Ambassadors Tell All",Guest,VMware Open Source Blog,5/24/2023,,,https://blogs.vmware.com/opensource/2023/05/24/amusement-parks-and-shipping-ports-cncf-ambassadors-tell-all/,
"Whitney Lee – Being new is a feature, not a bug.",Guest,Humans of Cloud Native,11/6/2023,,,https://www.cncf.io/humans-of-cloud-native/whitney-lee-being-new-is-a-feature-not-a-bug/,
"Schrodinger's Schedule, Whitney Lee",Guest,Productivity Alchemy,6/29/2023,,,https://productivityalchemy.com/2023/06/29/episode-305-schrodingers-schedule-whitney-lee/,
Devopsdays Amsterdam 2023 - Day 1,Guest,DevOps Days Amsterdam,6/22/2023,,,https://www.youtube.com/live/g3WE2FCCskQ?t=11261s,
"Choose Your Own Adventure: The Treacherous Trek to Production",Presentations,DevOps Days Amsterdam,6/21/2023,,,,
What The Heck Is Ingress?,Guest,Kubernetes Unpacked,10/5/2023,,,https://packetpushers.net/podcasts/kubernetes-unpacked/KU036-what-the-heck-is-ingress/,
VMware Explore Keynote,Presentations,VMware Explore,8/21/2023,,Keynote,,
Developer Experience Is Everything,Guest,Open at Intel,8/30/2023,,,https://openatintel.podbean.com/e/developer-experience-is-everything/,
"What a RUSH! Let's Deploy Straight to Production!",Presentations,O'Reilly,9/6/2023,,,https://www.oreilly.com/videos/infrastructure-and-ops/0636920942801/0636920942801-video348988/,
Ecosystem Panel Discussion,Presentations,KubeCon Analyst Event,11/7/2023,,,,
"Cloud native, legend, keynoter, colleague, and friend, Whitney Lee",Guest,Coffee + Software with Josh Long,12/15/2023,,,https://www.youtube.com/live/g8DQshZa8BE,
