Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Security Showdown: The Overconfident Operator Vs the Nefarious Ne’er-Do-Well | CCOSS + KCD GDL,NEEDS_REVIEW,Presentations & Guest Appearances,4/24/2024,,,https://www.youtube.com/watch?v=I5l87LgYz9M,
How to Platform Engineering “Well” for Target “Communities” | Ep 108,NEEDS_REVIEW,Presentations & Guest Appearances,5/30/2024,,,https://www.youtube.com/watch?v=3gv8eKeOIlI,
Victor Farcic & Whitney Lee - Choose Your Own Adventure: The Struggle for Security,NEEDS_REVIEW,Presentations & Guest Appearances,6/24/2024,,,https://www.youtube.com/watch?v=sXbH-CPL4f0,
"2024 Day 1 Keynote - Whitney Lee - Transformative Journeys, for Apps and for Humans!",NEEDS_REVIEW,Presentations & Guest Appearances,8/28/2024,,,https://www.youtube.com/watch?v=qYAofVa3W1E,
Choose Your Own Adventure: The Struggle for Security,NEEDS_REVIEW,Presentations & Guest Appearances,8/28/2024,,,https://www.youtube.com/watch?v=3lIUPHQ33GM,
Choose Your Own Adventure: The Struggle for Security | 选择你的冒险：安全之战 - Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,9/4/2024,,,https://www.youtube.com/watch?v=omskaA5i9ig,
"CNCF Ambassador Series 01 | DevOps Toolkit ""You Choose"" Observability with Whitney and Viktor",NEEDS_REVIEW,Presentations & Guest Appearances,9/4/2024,,,https://www.youtube.com/watch?v=7FsGO0bEXWc,
Choose Your Own Adventure: The Struggle for Security - Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,9/12/2024,,,https://www.youtube.com/watch?v=SdaHy60OcWs,
My Journey: Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,10/15/2024,,,https://www.youtube.com/watch?v=KETDIAYGC14,
A Lightboard Talk About Platform Engineering,NEEDS_REVIEW,Presentations & Guest Appearances,10/16/2024,,,https://www.youtube.com/watch?v=zFMgHcRKo_s,
Road to KubeCon NA 2024: Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,10/17/2024,,,https://www.youtube.com/watch?v=ZjU0VMRs7IQ,
Choose Your Own Adventure: The Observability Odyssey - Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,11/14/2024,,,https://www.youtube.com/watch?v=R3CFETvCBFU,
Panel: Exploring eBPF Use Cases in Cloud-Native Security,NEEDS_REVIEW,Presentations & Guest Appearances,11/22/2024,,,https://www.youtube.com/watch?v=towNkbPMDjE,
Choose Your Own Adventure: The Dignified Pursuit of a Developer Platf... Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,4/15/2025,,,https://www.youtube.com/watch?v=hnmtjCkO8FE,
"Panel: Are You Ready for Platform Adoption, or Are You Setting Yourself up for Failure?",NEEDS_REVIEW,Presentations & Guest Appearances,4/17/2025,,,https://www.youtube.com/watch?v=ESuFV_7p0lk,
Scared but Learning: A Survival Guide for Career Changers,NEEDS_REVIEW,Presentations & Guest Appearances,4/24/2025,,,https://www.youtube.com/watch?v=0GMUZ1p1Los,
KCD Costa Rica 2025 - From Curiosity to Cloud Native: The Stories of Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,5/5/2025,,,https://www.youtube.com/watch?v=N_1aFFSrGHk,
KCD Costa Rica 2025 - Platform Engineering: Herding Cats or Building Highways,NEEDS_REVIEW,Presentations & Guest Appearances,5/5/2025,,,https://www.youtube.com/watch?v=iKPIgNuLCTw,
Maximizing AI with Cursor: Building MCP Servers for Seamless Workflow,NEEDS_REVIEW,Presentations & Guest Appearances,5/29/2025,,,https://www.youtube.com/watch?v=z45LjlhyGyE,
Choose Your Own Adventure: The Dignified Pursuit of a Developer - Whitney Lee and Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,5/30/2025,,,https://www.youtube.com/watch?v=i-yUGFEedso,
Livestream on M.A.I.N. - Episode 17,NEEDS_REVIEW,Presentations & Guest Appearances,6/7/2025,,,https://www.youtube.com/watch?v=x-5Y7Yd8K9Y,
Ozzie & Nova - Supply Chain Shenanigans: A Kubernetes Security Play Ab... Whitney Lee & Puja Abbassi,NEEDS_REVIEW,Presentations & Guest Appearances,6/26/2025,,,https://www.youtube.com/watch?v=pvEIH3R_8Dg,
Choose Your Own Adventure: The Dignified Pursuit of a Developer Platf... Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,6/26/2025,,,https://www.youtube.com/watch?v=IKDuvQtlfoE,
KCD Costa Rica - 2025,NEEDS_REVIEW,Presentations & Guest Appearances,6/29/2025,,,https://www.youtube.com/watch?v=vyiYFCJ28p4,
AI for the rest of us - Friday Happy Hour,NEEDS_REVIEW,Presentations & Guest Appearances,10/11/2025,,,https://www.youtube.com/watch?v=6UYfe9EoHBs,
